# spec-lint ratchet baseline. Counts are per (unit, rule) and may only DECREASE.
# Regenerate with `make lint-ratchet-update` after fixing findings.
# Raising a count requires `spec-lint ratchet --update --allow-growth` and is a
# policy decision, not a routine step: it retires enforcement this gate already had.
# unit	rule	count
crates/arch/boot-aarch64	code/pub-fn-complexity	1
crates/arch/hal	code/pub-fn-complexity	2
crates/arch/hal-aarch64	code/klog-ungated	33
crates/arch/hal-x86_64	code/klog-ungated	12
crates/arch/hal-x86_64	code/pub-fn-complexity	9
crates/drivers/drm	code/klog-ungated	12
crates/drivers/drm	code/pub-fn-complexity	76
crates/drivers/drv	code/klog-ungated	7
crates/drivers/drv-ahci	code/klog-ungated	2
crates/drivers/drv-ahci	code/pub-fn-complexity	1
crates/drivers/drv-nvme	code/pub-fn-complexity	1
crates/drivers/drv-virtio-blk	code/klog-ungated	4
crates/drivers/drv-virtio-blk	code/pub-fn-complexity	17
crates/drivers/drv-virtio-gpu	code/pub-fn-complexity	25
crates/drivers/drv-virtio-input	code/pub-fn-complexity	26
crates/drivers/drv-virtio-rng	code/pub-fn-complexity	13
crates/drivers/drv-virtio-snd	code/pub-fn-complexity	47
crates/drivers/drv-virtio-vsock	code/pub-fn-complexity	20
crates/drivers/drv-zram	code/klog-ungated	7
crates/drivers/drv-zram	code/pub-fn-complexity	6
crates/drivers/fbcon	code/pub-fn-complexity	42
crates/drivers/fbdev	code/pub-fn-complexity	30
crates/drivers/virtio	code/pub-fn-complexity	48
crates/drivers/vt	code/pub-fn-complexity	20
crates/kernel/arch-irq	code/klog-ungated	15
crates/kernel/block	code/pub-fn-complexity	4
crates/kernel/cgroup	code/pub-fn-complexity	13
crates/kernel/console	code/pub-fn-complexity	11
crates/kernel/devpts	code/pub-fn-complexity	1
crates/kernel/efence	code/pub-fn-complexity	1
crates/kernel/exec	code/klog-ungated	1
crates/kernel/exec	code/pub-fn-complexity	1
crates/kernel/ext4	code/pub-fn-complexity	23
crates/kernel/fs	code/klog-ungated	26
crates/kernel/fs	code/pub-fn-complexity	26
crates/kernel/ipc	code/pub-fn-complexity	1
crates/kernel/kernfs	code/pub-fn-complexity	20
crates/kernel/kmain	code/klog-ungated	40
crates/kernel/mm-pmm	code/klog-ungated	76
crates/kernel/mm-pmm	code/pub-fn-complexity	8
crates/kernel/mm-vmm	code/pub-fn-complexity	7
crates/kernel/modules	code/klog-ungated	7
crates/kernel/modules	code/pub-fn-complexity	33
crates/kernel/namespace-identity	code/pub-fn-complexity	24
crates/kernel/net	code/klog-ungated	14
crates/kernel/net	code/pub-fn-complexity	185
crates/kernel/netfilter	code/pub-fn-complexity	12
crates/kernel/netlink	code/pub-fn-complexity	9
crates/kernel/network-namespace	code/pub-fn-complexity	2
crates/kernel/nscg	code/pub-fn-complexity	9
crates/kernel/pci-boot	code/pub-fn-complexity	18
crates/kernel/pidfd	code/pub-fn-complexity	1
crates/kernel/power	code/klog-ungated	6
crates/kernel/procfs	code/klog-ungated	21
crates/kernel/procfs	code/pub-fn-complexity	14
crates/kernel/sched	code/klog-ungated	163
crates/kernel/sched	code/pub-fn-complexity	54
crates/kernel/security	code/pub-fn-complexity	19
crates/kernel/smoke	code/klog-ungated	5
crates/kernel/sound	code/pub-fn-complexity	52
crates/kernel/syscalls	code/klog-ungated	98
crates/kernel/syscalls	code/pub-fn-complexity	35
crates/kernel/sysfs	code/pub-fn-complexity	11
crates/kernel/time-namespace	code/pub-fn-complexity	1
crates/kernel/timekeeper	code/pub-fn-complexity	9
crates/kernel/tracefs	code/pub-fn-complexity	3
crates/kernel/ucounts	code/pub-fn-complexity	2
crates/kernel/umh	code/klog-ungated	10
crates/kernel/umh	code/pub-fn-complexity	2
crates/kernel/user-namespace	code/pub-fn-complexity	2
crates/kernel/vfs	code/klog-ungated	24
crates/kernel/vfs	code/pub-fn-complexity	107
crates/kernel/vt	code/pub-fn-complexity	3
crates/shared/kalloc	code/klog-ungated	15
crates/shared/kalloc	code/pub-fn-complexity	7
crates/shared/slab	code/pub-fn-complexity	2
crates/shared/zstd	code/pub-fn-complexity	2
